Close,High,Low,Open,Volume,symbol
GC=F,GC=F,GC=F,GC=F,GC=F,
1186.0,1194.5,1169.5,1184.0,138,GOLD
1203.9000244140625,1206.9000244140625,1180.0999755859375,1180.300048828125,470,GOLD
1219.300048828125,1220.0,1203.5,1203.5,97,GOLD
1210.5999755859375,1219.199951171875,1210.5999755859375,1219.199951171875,29,GOLD
1208.4000244140625,1215.699951171875,1206.300048828125,1207.0,92,GOLD
1216.0,1220.199951171875,1210.300048828125,1211.0999755859375,43,GOLD
1232.699951171875,1234.4000244140625,1219.0999755859375,1224.199951171875,100,GOLD
1234.300048828125,1239.300048828125,1230.300048828125,1239.199951171875,20,GOLD
1234.4000244140625,1243.800048828125,1225.5999755859375,1229.5999755859375,21,GOLD
1264.699951171875,1265.0,1227.300048828125,1231.5,130,GOLD
1276.9000244140625,1279.699951171875,1256.0999755859375,1256.0999755859375,44,GOLD
1294.199951171875,1297.300048828125,1273.800048828125,1278.9000244140625,157,GOLD
1293.699951171875,1303.5,1286.699951171875,1295.199951171875,78,GOLD
1300.699951171875,1302.0999755859375,1283.5,1293.199951171875,131,GOLD
1292.5999755859375,1299.800048828125,1292.5999755859375,1299.800048828125,23,GOLD
1279.4000244140625,1290.5999755859375,1279.4000244140625,1289.5,26,GOLD
1291.699951171875,1291.699951171875,1277.199951171875,1277.199951171875,20,GOLD
1285.9000244140625,1286.800048828125,1285.9000244140625,1285.9000244140625,180387,GOLD
1254.5999755859375,1285.4000244140625,1251.0,1283.300048828125,67983,GOLD
1278.5,1284.300048828125,1257.0,1258.0,8626,GOLD
1276.199951171875,1284.0999755859375,1266.0,1284.0999755859375,1654,GOLD
1259.699951171875,1284.699951171875,1255.300048828125,1273.5,2380,GOLD
1263.800048828125,1271.5999755859375,1256.800048828125,1262.0,668,GOLD
1262.0,1272.5999755859375,1257.800048828125,1271.800048828125,133,GOLD
1233.9000244140625,1267.5999755859375,1228.0,1265.0,432,GOLD
1240.800048828125,1242.300048828125,1235.4000244140625,1237.5,319,GOLD
1231.5999755859375,1245.0,1231.199951171875,1237.5,231,GOLD
1219.0,1237.4000244140625,1219.0,1233.300048828125,102,GOLD
1220.0999755859375,1229.800048828125,1217.9000244140625,1217.9000244140625,99,GOLD
1226.5,1232.800048828125,1222.199951171875,1222.199951171875,65,GOLD
1208.0999755859375,1234.0,1203.0,1227.699951171875,204,GOLD
1199.699951171875,1210.199951171875,1197.800048828125,1207.0999755859375,147,GOLD
1207.0999755859375,1220.0,1205.0,1216.5,65,GOLD
1204.4000244140625,1213.0999755859375,1199.0999755859375,1206.5,51,GOLD
1200.300048828125,1203.300048828125,1191.5999755859375,1201.300048828125,268,GOLD
1196.9000244140625,1203.5,1193.800048828125,1203.4000244140625,151,GOLD
