Date,Close,High,Low,Open,Volume,symbol
2015-01-01,586.8890991210938,592.8662929402005,585.1145867510203,585.1145867510203,596787,CIPLA
2015-01-02,588.5234375,595.4345724938889,587.7762384707945,591.1851487808757,688999,CIPLA
2015-01-05,591.1851806640625,595.854889832025,584.6475878289149,584.6475878289149,1282895,CIPLA
2015-01-06,573.7672119140625,590.2513100677462,570.1715582220871,589.3173681214365,1615490,CIPLA
2015-01-07,571.5256958007812,576.9892325284175,564.5678179914621,573.7671219183801,813936,CIPLA
2015-01-08,577.3629150390625,580.4449120208155,571.5724636472069,574.374289449399,1273014,CIPLA
2015-01-09,590.5781860351562,599.1237779214013,579.9779674032583,582.7797933327427,2151608,CIPLA
2015-01-12,589.0839233398438,594.9210609076187,584.601013088452,589.2240374427889,1094136,CIPLA
2015-01-13,594.360595703125,602.6726436803277,586.7022613958136,589.3172870852338,1261489,CIPLA
2015-01-14,589.6909790039062,599.4506269272723,587.4961811860351,596.6021153370887,1033679,CIPLA
2015-01-15,595.901611328125,597.7228094137153,590.8116166285536,596.6954961363512,1229115,CIPLA
2015-01-16,604.5872802734375,607.0622491675138,596.7888880277559,599.3105426172638,1245788,CIPLA
2015-01-19,614.3469848632812,617.8492670706236,606.1283073507095,608.9301331165834,1536486,CIPLA
2015-01-20,618.0828247070312,622.4256779524434,613.9267712684762,618.2229388129986,1537603,CIPLA
2015-01-21,600.9450073242188,619.9973904302527,598.656837962548,619.2035625104045,1541897,CIPLA
2015-01-22,611.5452270507812,613.7867107138649,598.9836954039827,600.9916935606325,1642285,CIPLA
2015-01-23,632.8858032226562,641.1511669139658,611.3583950601271,616.3083331385734,2255956,CIPLA
2015-01-27,660.3436279296875,663.098768014349,637.8823359912682,641.6181036983913,2067849,CIPLA
2015-01-28,657.0748901367188,660.2970014738487,646.8015280204354,660.2036300741103,1379608,CIPLA
2015-01-29,651.3777465820312,664.8732175473466,641.1510720510621,653.7126011779928,2245977,CIPLA
2015-01-30,649.7901611328125,656.3744409804267,645.5407363377777,652.8254727011656,1061983,CIPLA
2015-02-02,649.5565795898438,659.8299403022639,645.5873265873178,651.891434297212,878717,CIPLA
2015-02-03,632.6522827148438,653.5258619345891,627.6556592147624,649.2297518814589,772717,CIPLA
2015-02-04,633.2125854492188,642.5520041136615,622.565625370439,635.4540687300001,1326140,CIPLA
2015-02-05,618.6431884765625,631.8584332514951,613.833364492836,631.8584332514951,913021,CIPLA
2015-02-06,611.7786254882812,637.6021416259517,602.9996058977871,627.6089519721656,1572398,CIPLA
2015-02-09,588.0565795898438,612.6659275046029,584.8811541154842,607.0622757286462,1213162,CIPLA
2015-02-10,597.8629150390625,600.337826809799,582.266074300952,588.3833821913313,1834808,CIPLA
2015-02-11,594.4073486328125,598.4699731988617,589.3640394444213,597.8629451505403,1671824,CIPLA
2015-02-12,617.0087890625,621.5850705415644,591.2319563305776,598.6568064382318,4022095,CIPLA
