Date,Close,High,Low,Open,Volume,symbol
2015-01-01,308.07354736328125,309.7713959062979,298.52319602012864,300.8577269872421,2460188,BHARTIARTL
2015-01-02,309.8987121582031,311.5541035693214,307.30949694036144,308.83754612825174,2795887,BHARTIARTL
2015-01-05,303.0224914550781,310.9174808464422,301.87646871701355,310.9174808464422,1605267,BHARTIARTL
2015-01-06,300.6455078125,302.3008994081074,295.7641895233898,302.3008994081074,3916948,BHARTIARTL
2015-01-07,301.3670959472656,303.9138833776308,297.5469722925739,298.77788026516544,4899318,BHARTIARTL
2015-01-08,306.5879821777344,308.1160316289906,299.79658740453385,302.68294455585794,7096620,BHARTIARTL
2015-01-09,302.04620361328125,309.7713928486863,300.47569731967076,307.7339746171767,3831782,BHARTIARTL
2015-01-12,296.2310791015625,301.96130688004433,294.6605728677288,301.96130688004433,2276975,BHARTIARTL
2015-01-13,293.9814453125,299.07499090236047,292.2836255279716,297.0375726664163,1604173,BHARTIARTL
2015-01-14,293.5570068359375,295.59442518618795,292.5807546559775,294.5332877613242,3415213,BHARTIARTL
2015-01-15,296.5706787109375,299.3296935189473,291.43470456228397,293.8116926483545,4966049,BHARTIARTL
2015-01-16,291.0527038574219,298.82032175519777,287.869234107384,294.57571458543157,9779165,BHARTIARTL
2015-01-19,297.5044860839844,299.07499238881894,290.24620873460515,291.94405727299727,3385131,BHARTIARTL
2015-01-20,301.2821960449219,303.0649299122139,295.46708247867355,297.5045008257007,2891041,BHARTIARTL
2015-01-21,313.2519836425781,314.1008935560334,300.9426174249223,301.3670723816499,5052826,BHARTIARTL
2015-01-22,314.10089111328125,317.4541312380327,306.5879579504379,316.9447910430058,2502844,BHARTIARTL
2015-01-23,326.0706481933594,329.16920347414276,315.79870158137436,316.605183142864,6269436,BHARTIARTL
2015-01-27,334.644775390625,335.3239147910924,323.9483729514,324.8821968133989,5268554,BHARTIARTL
2015-01-28,317.1570129394531,335.91817451056016,315.45916441019403,334.220325981301,4490563,BHARTIARTL
2015-01-29,319.02459716796875,323.0145192176664,308.20085349893617,318.17568736860227,7542171,BHARTIARTL
2015-01-30,317.2418518066406,323.2691916453936,310.83251407053365,323.2691916453936,5409140,BHARTIARTL
2015-02-02,305.0174255371094,316.9447639335054,302.6404377576372,314.1008642470305,4157252,BHARTIARTL
2015-02-03,315.416748046875,317.4965946076896,305.6965971892416,305.739025438181,4242370,BHARTIARTL
2015-02-04,313.2095031738281,320.2980096525172,309.85626327432243,318.3454767543154,5535031,BHARTIARTL
2015-02-05,309.6015930175781,315.71381838722385,305.6540991614412,314.10085525383647,8259274,BHARTIARTL
2015-02-06,312.6153259277344,314.10091839375525,304.7627936256264,309.77142575100976,3318996,BHARTIARTL
2015-02-09,302.3008728027344,310.45051657153056,299.8814567409651,309.8562624310128,3030260,BHARTIARTL
2015-02-10,302.3433837890625,307.1397885240735,299.6692540518692,301.6217872934616,6847286,BHARTIARTL
2015-02-11,302.3008728027344,306.16345285254084,295.4246225506409,303.0224404240412,3489433,BHARTIARTL
2015-02-12,299.4145812988281,305.4843506878923,296.5282529711655,304.76278297869015,4361948,BHARTIARTL
2015-02-13,301.3670959472656,302.6404896624482,296.52826306951346,300.34838672420517,3377769,BHARTIARTL
