Date,Close,High,Low,Open,Volume,symbol
2015-01-01,189.99981689453125,190.8771706719807,189.0903658533578,189.65744608147511,2963643,RELIANCE
2015-01-02,189.49693298339844,191.74381271840838,189.22945580333513,190.04260071522322,7331366,RELIANCE
2015-01-05,187.4212646484375,190.6417900892634,187.04678228843514,189.37925486692558,10103941,RELIANCE
2015-01-06,178.91525268554688,186.81140833967845,178.03789888297737,186.1694487623213,18627980,RELIANCE
2015-01-07,182.809814453125,183.77276085280215,179.10783035701846,179.1292285310337,20720312,RELIANCE
2015-01-08,180.1884765625,184.650124649003,179.78189694949202,184.05094717483541,19872227,RELIANCE
2015-01-09,184.09375,184.457533275433,180.81974337459295,181.54729564096232,13392787,RELIANCE
2015-01-12,181.953857421875,184.2435334450875,180.09217344442607,184.13654257589423,10100113,RELIANCE
2015-01-13,180.42385864257812,182.94891476700133,179.85679270891694,182.53163606142144,9948711,RELIANCE
2015-01-14,178.66917419433594,181.24772588423613,177.86671400685174,180.39177025551925,11380041,RELIANCE
2015-01-15,184.9390106201172,186.40482855783029,179.74980999523677,179.74980999523677,16927085,RELIANCE
2015-01-16,186.105224609375,187.23935634856096,182.3283327949327,184.02953040371162,19136963,RELIANCE
2015-01-19,188.23440551757812,189.5932181135974,183.76205866343602,186.21222096929463,13339962,RELIANCE
2015-01-20,193.24172973632812,193.77669838636558,188.06321434843136,188.63029454489703,13361320,RELIANCE
2015-01-21,194.03347778320312,195.0285214787759,190.8878603857459,193.6590097248124,17084297,RELIANCE
2015-01-22,189.11178588867188,194.12980116349135,188.20233481106973,193.69112425719513,23721627,RELIANCE
2015-01-23,189.7858123779297,192.11827040016072,187.66733608819882,190.44917003317502,18080494,RELIANCE
2015-01-27,190.24594116210938,191.88294473193457,188.4163396940996,191.06978534959714,17939876,RELIANCE
2015-01-28,194.05487060546875,194.6861453126213,189.6146209037031,189.6146209037031,19298126,RELIANCE
2015-01-29,198.8802947998047,199.97163021370753,194.0655629331805,194.10835928003982,36117653,RELIANCE
2015-01-30,195.85238647460938,199.2761945456081,194.51495765255618,199.00870306739893,21746801,RELIANCE
2015-02-02,194.31167602539062,196.84743125784271,193.80880461402253,196.0235729278048,19302710,RELIANCE
2015-02-03,200.6350555419922,201.33051064799102,195.41374270647452,195.41374270647452,17092333,RELIANCE
2015-02-04,198.75192260742188,201.96173460093706,198.13136124086165,200.9559917954961,14072894,RELIANCE
2015-02-05,197.66058349609375,201.1271735293087,196.3552519765529,200.2926304255329,12365643,RELIANCE
2015-02-06,194.7075653076172,199.00871307477848,193.23104827058498,197.7461920879739,9045844,RELIANCE
2015-02-09,191.8829345703125,196.44087507998753,190.8771916275509,192.84588115674364,8839692,RELIANCE
2015-02-10,188.73727416992188,193.55199173331846,184.3077237267607,192.16108189681194,13651008,RELIANCE
2015-02-11,192.73886108398438,193.60551573745482,188.95126984622166,189.5932293784795,9781008,RELIANCE
2015-02-12,194.54705810546875,195.57419911515908,189.86072903431875,194.30097908321838,8709626,RELIANCE
2015-02-13,196.3338623046875,197.040016389926,194.52565931328633,195.58489758339235,7393680,RELIANCE
2015-02-16,193.188232421875,197.76757030685985,192.58905496930115,196.59062786062142,12266698,RELIANCE
2015-02-18,192.94212341308594,194.30095023114012,191.3907130409981,192.58903927952977,9835036,RELIANCE
2015-02-19,193.0277557373047,194.21539741784883,189.92493435604038,194.07629498243546,9550637,RELIANCE
2015-02-20,186.8328094482422,191.73313477228302,186.4476279819841,191.57263416205217,18717199,RELIANCE
2015-02-23,182.19996643066406,187.61386200854957,181.2691172193531,186.15874320844807,14104463,RELIANCE
2015-02-24,180.06007385253906,183.34479374629717,179.10784076900913,182.79912599269178,19946218,RELIANCE
2015-02-25,180.42385864257812,183.28060077082046,179.97448267383797,181.6328984084374,15274116,RELIANCE
2015-02-26,180.17779541015625,181.8896924488369,179.0222509816617,181.05513496456265,21459750,RELIANCE
2015-02-27,183.07730102539062,184.24354442256953,180.73414371246815,181.36540416281517,18659378,RELIANCE
2015-03-02,184.9390106201172,187.34637688895236,183.07731213428505,185.95545256868127,14579511,RELIANCE
2015-03-03,192.76025390625,193.969279324954,185.613063696691,185.95543448599022,20636925,RELIANCE
2015-03-04,189.98912048339844,194.65406572197864,188.320019892744,193.8730037246968,14476047,RELIANCE
2015-03-05,189.36856079101562,192.3215948287122,187.91344194847687,190.98416595587585,10716702,RELIANCE
2015-03-09,186.0945281982422,190.82366771217244,184.91760000575078,189.40064622299883,14065391,RELIANCE
2015-03-10,183.84764099121094,187.41053669516248,183.04518095544498,185.94471902903294,15234060,RELIANCE
2015-03-11,183.16290283203125,186.08382507493755,182.40323906798355,184.23284012645408,11635873,RELIANCE
2015-03-12,184.84271240234375,185.613075295397,183.08800485955376,183.6015896445869,11782380,RELIANCE
2015-03-13,181.9110870361328,186.0838458061595,181.2477292679663,185.95545674480417,12936157,RELIANCE
2015-03-16,180.19915771484375,182.73491264434313,179.81397631535776,182.2106431199992,13839990,RELIANCE
2015-03-17,183.35548400878906,184.00814260727708,179.96377340198245,182.00735617885903,19070082,RELIANCE
2015-03-18,185.88055419921875,186.65091709935052,182.89542295907717,183.38759528846785,9269885,RELIANCE
2015-03-19,183.20570373535156,187.6031429821561,182.76702686252392,187.35706396918957,13934612,RELIANCE
2015-03-20,182.76702880859375,184.27564301850518,181.59008631534266,183.5801737532895,10405717,RELIANCE
2015-03-23,180.1670684814453,184.88549441073982,179.34321021313397,183.28058850662916,13251683,RELIANCE
2015-03-24,181.4510040283203,182.80983105517825,180.19918216575178,180.19918216575178,9238431,RELIANCE
2015-03-25,180.79835510253906,181.78269981857528,179.96379762627,181.6757089330273,10264941,RELIANCE
2015-03-26,177.46014404296875,181.72920904653154,176.3474102356759,179.98520042928607,20621346,RELIANCE
2015-03-27,173.6939239501953,178.67984101772635,171.5005398332376,178.44444683431152,23326922,RELIANCE
2015-03-30,173.49063110351562,174.9778469896794,170.4306066386598,174.7424670852265,17330588,RELIANCE
2015-03-31,176.75396728515625,178.23048420828187,175.04205615338952,175.04205615338952,20235395,RELIANCE
2015-04-01,178.90451049804688,179.53577083511487,173.99348734579502,176.5185429785605,14588531,RELIANCE
2015-04-06,176.46505737304688,179.32179910406478,175.76960248344625,178.89382137027428,12334096,RELIANCE
2015-04-07,178.2197723388672,178.91522725845928,176.76465369502523,176.76465369502523,21275454,RELIANCE
2015-04-08,185.29208374023438,186.0624323295186,178.23048596339783,178.35887501419583,24821205,RELIANCE
2015-04-09,191.54054260253906,192.37510009020858,183.7727899381834,185.20651067760386,27276420,RELIANCE
2015-04-10,193.5199432373047,194.47219076016128,190.25663527270493,191.50845729789938,25323219,RELIANCE
