Date,Close,High,Low,Open,Volume,symbol
2015-01-01,290.80670166015625,291.6844744759509,286.96980647272414,289.3950098481293,1336492,HCLTECH
2015-01-02,290.5262756347656,293.0057621884756,289.585162133786,289.9471322638403,933372,HCLTECH
2015-01-05,285.63958740234375,292.29078641202926,283.9111717477023,292.29078641202926,2012624,HCLTECH
2015-01-06,278.0111999511719,284.942937925345,275.57695926110785,284.87053946877916,3470408,HCLTECH
2015-01-07,271.4051513671875,280.16483139261663,270.156350219532,278.62645861042205,3540560,HCLTECH
2015-01-08,277.6854248046875,278.7170309522184,270.57270212569256,274.5543739964385,3906036,HCLTECH
2015-01-09,279.721435546875,286.61696110638695,275.6221199995867,278.1106642830189,6164448,HCLTECH
2015-01-12,285.15093994140625,285.77532938567924,278.8435946995836,281.44978324935596,2661684,HCLTECH
2015-01-13,286.6078796386719,288.66205524285664,282.9429329020216,285.1509634509524,2916072,HCLTECH
2015-01-14,285.7392272949219,289.35892856750564,280.58115298149005,288.83406746440033,4133276,HCLTECH
2015-01-15,288.3544006347656,292.91521457871124,280.97020253295915,288.6620663502995,3658976,HCLTECH
2015-01-16,296.63446044921875,297.55747967206116,285.1509692769195,288.49013420137567,3185348,HCLTECH
2015-01-19,297.656982421875,313.10404763670203,296.7792095970795,298.62524774598745,3335832,HCLTECH
2015-01-20,302.6341247558594,303.9191140605667,298.57099754409194,300.88761478379763,3099268,HCLTECH
2015-01-21,305.3670654296875,306.22674452928214,296.99650577573993,300.65239542527524,7541032,HCLTECH
2015-01-22,301.46685791015625,306.41681783431,299.89229645212674,305.50283428557026,3769104,HCLTECH
2015-01-23,298.0189514160156,302.04586762206605,295.24083611491494,300.9961457963645,4683076,HCLTECH
2015-01-27,292.53521728515625,298.4262902275283,290.94256190415996,298.4262902275283,4461772,HCLTECH
2015-01-28,300.3265686035156,301.47581914611106,291.38590354209146,291.38590354209146,4173388,HCLTECH
2015-01-29,298.4352111816406,300.9237549672366,291.1867750836967,300.07313429222756,4751440,HCLTECH
2015-01-30,324.2800598144531,329.3928889980771,317.29403922461404,327.58303795962615,21415344,HCLTECH
2015-02-02,342.2427673339844,343.87163296381294,325.4202139164163,325.7731259657175,10089756,HCLTECH
2015-02-03,343.91680908203125,346.5863383197421,338.6229968648759,345.68141315441636,8442272,HCLTECH
2015-02-04,345.38909912109375,347.1429935519561,342.6992086084986,345.32549096791445,4939900,HCLTECH
2015-02-05,358.52947998046875,360.01982251114185,342.9534769827063,345.32532559353996,8494896,HCLTECH
2015-02-06,355.2671203613281,362.95516298357416,353.55868616643306,358.0479073999204,4023848,HCLTECH
2015-02-09,362.4644470214844,365.22704129585384,351.0141839701588,352.7771521051268,4670508,HCLTECH
2015-02-10,351.38671875,361.29210391756186,349.86910912947803,360.77412032312407,5786408,HCLTECH
2015-02-11,355.4488525390625,357.5026386462747,349.17847072243995,352.5408493777303,2142516,HCLTECH
2015-02-12,360.6651916503906,361.6829885880499,354.23122852166296,354.4129787671846,4365376,HCLTECH
2015-02-13,362.2191162109375,364.22746515028626,359.28386771139225,361.68296190073335,3286008,HCLTECH
2015-02-16,360.7469177246094,364.95443973148406,359.9744792939028,362.60078327008875,3024868,HCLTECH
2015-02-18,369.5254211425781,370.77040556714826,361.23761651422024,361.9646173094499,6327804,HCLTECH
2015-02-19,372.25152587890625,373.44199815247407,367.13527726408955,368.95277863668406,4136952,HCLTECH
2015-02-20,363.63671875,373.49666726540045,362.791575868562,372.5879162501562,2668572,HCLTECH
2015-02-23,358.2297058105469,368.534935048382,355.9487315337294,363.500462517044,2666340,HCLTECH
2015-02-24,359.14752197265625,363.28233937251076,355.4398131416794,358.22967451047396,3643048,HCLTECH
2015-02-25,360.447021484375,362.3372281784597,358.3750867595938,361.5920567260116,2276348,HCLTECH
2015-02-26,359.0384216308594,364.954399481032,357.13004454193964,360.41064450741356,4156644,HCLTECH
2015-02-27,367.4989013671875,368.1622940289735,359.03842075248673,361.5011448166844,4808820,HCLTECH
2015-03-02,368.0169372558594,370.93403723054973,363.56405676027623,370.93403723054973,4098336,HCLTECH
2015-03-03,369.17108154296875,371.6610731625128,360.78332564945606,369.1347403692038,4306688,HCLTECH
2015-03-04,370.0435485839844,372.8970189396994,367.1355442729118,370.2252988534264,3430308,HCLTECH
2015-03-05,375.31427001953125,377.11357976355504,370.03441632947823,370.0435127165935,3448716,HCLTECH
2015-03-09,375.44146728515625,377.11356064264555,365.4997378889074,373.81481148831944,6555768,HCLTECH
2015-03-10,371.5246887207031,376.0411769109126,368.58941845110235,373.4966740221969,5425488,HCLTECH
2015-03-11,374.2328186035156,384.74704274744755,369.96168821395185,374.4054724468687,10074260,HCLTECH
2015-03-12,373.0787048339844,377.913278915981,371.1794237205631,375.31424163690184,4880440,HCLTECH
2015-03-13,365.7904968261719,374.22371166720114,360.05629056384214,374.18737049687996,6368968,HCLTECH
2015-03-16,373.86016845703125,375.4959202879079,366.04490970950945,367.1354109300939,7937836,HCLTECH
2015-03-17,370.6068420410156,376.0229848888389,369.49817021741757,375.64133607833816,10007444,HCLTECH
2015-03-18,364.6908874511719,373.0877381566462,362.60076006654083,370.7704230128161,18927840,HCLTECH
2015-03-19,356.10321044921875,365.8268470971268,353.3224232436124,359.8654310814571,10163240,HCLTECH
2015-03-20,356.194091796875,358.04793517554566,351.05055167084595,356.2122623817039,6271108,HCLTECH
2015-03-23,352.0138244628906,358.9930149535165,349.5965377345243,356.43034136527365,3897136,HCLTECH
2015-03-24,352.7226257324219,355.8669132583069,349.087621511193,352.231909037078,5298696,HCLTECH
2015-03-25,366.0995178222656,369.9707846279341,352.268306789734,353.32246705774253,7518574,HCLTECH
2015-03-26,358.9202575683594,367.13535667488094,355.5396865350847,365.68135526230714,7048128,HCLTECH
2015-03-27,349.99639892578125,364.5909508476968,347.106588101308,357.4663509120352,4280330,HCLTECH
2015-03-30,356.3939208984375,358.48404790098914,347.6880831201144,351.141336428678,3275064,HCLTECH
2015-03-31,356.3757629394531,357.70252594584554,351.5048492256118,356.2303539204753,3726676,HCLTECH
2015-04-01,341.9993591308594,350.0509022577267,339.8728905617596,344.23489557431697,8281168,HCLTECH
2015-04-06,338.8005065917969,341.3268385347188,331.5668627290932,339.14583637155766,7728748,HCLTECH
2015-04-07,339.7093505859375,347.50643989318735,337.1285061934713,341.6177280016689,4348138,HCLTECH
2015-04-08,348.5423889160156,352.2319272660285,341.6904144789131,343.48974609880264,3587334,HCLTECH
2015-04-09,350.46893310546875,352.2319012392134,342.05388964509785,352.2319012392134,2674132,HCLTECH
2015-04-10,351.5957336425781,355.3943169545503,347.5063544712377,348.70590125757053,2837478,HCLTECH
2015-04-13,354.7945251464844,355.68510547379145,347.14284693660795,351.8320104974974,3099142,HCLTECH
2015-04-15,343.3262023925781,355.50346843826514,341.2360746384677,355.50346843826514,3098572,HCLTECH
2015-04-16,346.870361328125,348.19714706285106,339.32772575300464,344.96198365249217,2057382,HCLTECH
2015-04-17,341.7267150878906,345.5798326162472,339.6729511521591,344.59837710495333,3138232,HCLTECH
2015-04-20,335.9834899902344,344.48941011608684,331.71235934052856,343.50795438059487,3223104,HCLTECH
2015-04-21,323.75164794921875,334.4203760722184,303.5591824927713,305.6311392600448,14596284,HCLTECH
2015-04-22,318.89886474609375,324.2059833697144,313.7371551425236,321.5160718028914,7934682,HCLTECH
2015-04-23,325.3329162597656,329.6949218409021,320.6982853298081,320.8982061483486,6391380,HCLTECH
2015-04-24,327.50543212890625,333.29277036722374,324.0184230019806,325.3328904125165,6406490,HCLTECH
2015-04-27,322.48486328125,330.7916234015484,319.1256415446511,327.1768045886818,3789232,HCLTECH
2015-04-28,317.8476867675781,322.68569004117995,311.95079084425856,320.82352411060975,5803656,HCLTECH
2015-04-29,323.9453430175781,326.13613656059255,313.4477906239674,317.8476298656738,4076096,HCLTECH
