Date,Close,High,Low,Open,Volume,symbol
2015-01-01,367.7708435058594,369.18648845992266,364.5111242586098,366.75566015463204,2002764,INFY
2015-01-02,374.998046875,376.08774250798706,367.323746459979,367.323746459979,6778320,INFY
2015-01-05,371.7756042480469,378.1273948554082,368.3482380919063,374.38337938498074,9937024,INFY
2015-01-06,364.0081481933594,369.7452626229589,360.2641327013001,368.8139143543872,9667316,INFY
2015-01-07,365.749755859375,367.83596670446906,363.2257931757006,366.0198377385906,7249916,INFY
2015-01-08,367.5938415527344,371.9805010230413,363.2258272383228,369.8570224085106,13564920,INFY
2015-01-09,386.4070739746094,392.8426996043403,356.3431700615721,368.8325366978037,44863328,INFY
2015-01-12,394.13726806640625,394.74264444617666,386.509534776497,389.6761189168346,12758888,INFY
2015-01-13,389.09869384765625,392.61921788155007,386.50956363586636,392.61921788155007,8801236,INFY
2015-01-14,396.50286865234375,397.3131598128215,389.78788421210663,390.88685694665065,9921260,INFY
2015-01-15,397.5460205078125,401.00133178430156,393.44808800169943,397.7229675890147,8342452,INFY
2015-01-16,394.5749816894531,402.34241646773023,393.40147387955847,400.1071808206873,6690960,INFY
2015-01-19,391.6319274902344,397.19209456794607,390.1604154893462,394.8916462683933,4087744,INFY
2015-01-20,395.67401123046875,397.3131933691028,391.43637637385973,392.4701821044067,6804504,INFY
2015-01-21,404.1865539550781,405.31349459619184,394.51917590862195,397.03381654826615,8494908,INFY
2015-01-22,409.1319885253906,410.35206390227745,402.58462812016074,405.0992685480685,9958396,INFY
2015-01-23,412.59661865234375,414.4499926704358,403.29245824916524,409.79325117975674,9486328,INFY
2015-01-27,397.965087890625,413.7048725509376,396.7729803789368,413.7048725509376,13739968,INFY
2015-01-28,399.46453857421875,401.3738022552521,396.8101963835139,400.4796989484496,13134356,INFY
2015-01-29,399.64154052734375,400.46110881018046,396.3073319289074,399.5484057008401,15369424,INFY
2015-01-30,398.97100830078125,402.81750446776584,396.18628568766394,402.6219122091063,10833744,INFY
2015-02-02,398.03033447265625,400.85230158383774,396.0186130832642,398.89647018670473,8702540,INFY
2015-02-03,395.0593566894531,398.6078032835734,391.5388778336786,398.03039454572536,5265956,INFY
2015-02-04,399.14794921875,400.479759064312,396.0837770069775,398.59841735459065,5160016,INFY
2015-02-05,408.638427734375,413.518684191344,400.1072674067599,400.62883159913724,11875936,INFY
2015-02-06,415.4743957519531,418.69686933785067,407.65107155487533,410.7245203465844,7453728,INFY
2015-02-09,418.9018859863281,419.85187959195326,409.79331637191535,409.79331637191535,6536868,INFY
2015-02-10,424.37811279296875,428.04761545778854,417.43024640596354,417.80278567093984,8516920,INFY
2015-02-11,425.59820556640625,427.15352977635666,420.2708756667293,424.7879144412083,5796972,INFY
2015-02-12,430.5063781738281,432.50877678197196,423.39088709869094,425.25358347835964,6287536,INFY
2015-02-13,427.6937255859375,433.39354911098354,425.81238408876465,428.3456693061084,5657516,INFY
2015-02-16,424.4619445800781,429.7054167857029,421.94730442568164,424.7506716189284,6244276,INFY
