Close,High,Low,Open,Volume,symbol
GC=F,GC=F,GC=F,GC=F,GC=F,
2051.199951171875,2051.800048828125,2049.800048828125,2051.199951171875,0,GOLD
2049.199951171875,2051.800048828125,2047.5999755859375,2051.199951171875,3715,GOLD
2050.0,2053.800048828125,2048.800048828125,2049.10009765625,5146,GOLD
2049.300048828125,2051.300048828125,2048.60009765625,2050.0,3257,GOLD
2045.800048828125,2050.800048828125,2045.199951171875,2049.199951171875,4376,GOLD
2046.9000244140625,2047.0999755859375,2044.199951171875,2045.699951171875,5260,GOLD
2046.0,2047.199951171875,2043.800048828125,2047.0,3406,GOLD
2046.9000244140625,2047.699951171875,2045.0999755859375,2046.0999755859375,5986,GOLD
2046.9000244140625,2049.0,2030.800048828125,2047.0,46977,GOLD
2054.199951171875,2056.39990234375,2045.5999755859375,2047.0,28395,GOLD
2061.89990234375,2071.10009765625,2054.199951171875,2054.199951171875,40135,GOLD
2051.800048828125,2063.300048828125,2050.89990234375,2061.800048828125,13788,GOLD
2048.800048828125,2052.300048828125,2047.199951171875,2051.89990234375,13738,GOLD
2055.0,2055.39990234375,2047.300048828125,2048.699951171875,8139,GOLD
2052.60009765625,2057.199951171875,2051.800048828125,2055.10009765625,3968,GOLD
2050.800048828125,2052.60009765625,2049.89990234375,2052.60009765625,2928,GOLD
2052.699951171875,2053.199951171875,2050.800048828125,2050.800048828125,1762,GOLD
2051.10009765625,2052.60009765625,2049.800048828125,2052.60009765625,2304,GOLD
2052.5,2053.0,2050.60009765625,2051.10009765625,1571,GOLD
2050.199951171875,2053.300048828125,2049.300048828125,2052.60009765625,3624,GOLD
2047.800048828125,2050.300048828125,2047.699951171875,2050.199951171875,4549,GOLD
2042.9000244140625,2048.0,2041.699951171875,2047.699951171875,4967,GOLD
2042.300048828125,2044.4000244140625,2042.199951171875,2042.800048828125,2440,GOLD
2037.199951171875,2042.5999755859375,2033.4000244140625,2042.4000244140625,12153,GOLD
2039.300048828125,2039.5999755859375,2036.699951171875,2037.0999755859375,5497,GOLD
2037.699951171875,2039.5,2034.800048828125,2039.199951171875,7273,GOLD
2034.4000244140625,2038.0,2033.5,2037.5999755859375,7097,GOLD
2035.5,2038.0999755859375,2032.699951171875,2034.4000244140625,6424,GOLD
2033.9000244140625,2035.800048828125,2033.300048828125,2035.5,4656,GOLD
2026.4000244140625,2034.300048828125,2022.699951171875,2033.9000244140625,18513,GOLD
2031.0,2031.300048828125,2025.199951171875,2026.300048828125,7672,GOLD
2025.199951171875,2031.9000244140625,2024.800048828125,2031.0,21790,GOLD
2032.800048828125,2033.5999755859375,2024.699951171875,2025.199951171875,19460,GOLD
2040.9000244140625,2041.4000244140625,2031.800048828125,2032.699951171875,23042,GOLD
2038.800048828125,2043.5999755859375,2037.800048828125,2040.9000244140625,14172,GOLD
2034.0999755859375,2039.5999755859375,2033.5,2038.800048828125,8544,GOLD
2032.800048828125,2034.699951171875,2032.5999755859375,2034.199951171875,12999,GOLD
2035.699951171875,2035.9000244140625,2032.699951171875,2032.800048828125,4484,GOLD
2033.4000244140625,2036.199951171875,2032.300048828125,2035.5999755859375,3874,GOLD
2034.0999755859375,2035.0,2033.300048828125,2033.300048828125,1898,GOLD
2036.699951171875,2036.800048828125,2034.0,2034.5,0,GOLD
2040.4000244140625,2040.9000244140625,2036.5999755859375,2036.5999755859375,4179,GOLD
2038.199951171875,2042.699951171875,2037.199951171875,2040.300048828125,5417,GOLD
2040.0999755859375,2041.800048828125,2038.0,2038.0999755859375,4812,GOLD
2039.5999755859375,2040.9000244140625,2039.0999755859375,2040.199951171875,2518,GOLD
2039.0,2040.9000244140625,2038.199951171875,2039.5999755859375,3189,GOLD
2038.5999755859375,2039.4000244140625,2036.199951171875,2038.9000244140625,3511,GOLD
2039.0,2041.0,2037.0999755859375,2038.699951171875,4507,GOLD
2041.9000244140625,2043.0,2037.9000244140625,2039.0,5723,GOLD
2040.300048828125,2044.199951171875,2037.199951171875,2041.800048828125,8096,GOLD
